Temperature,Humidity,MQ135,MQ4,Vibration,Wet_Bulb,Explosion_Risk,Safety_Score
30.483570765056164,58.643604769659454,4.2939378068141005,24.68165073509006,15.696209091816442,24.2039268157524,0,83.8469061021832
27.308678494144075,58.19878837424219,5.786921337643262,0.7611362787415168,6.481315216375186,21.29719881612311,0,92.92418907366115
31.23844269050346,38.06535241054978,4.581814740346805,114.27315822425874,10.716994215167652,21.06253884615597,0,81.11563713311088
35.61514928204013,60.04864712447844,8.071460441202843,37.437645568381726,5.240355761618734,29.049993700293985,0,76.89872941824652
26.829233126383322,75.99243622732618,19.25446198243238,94.79012958559068,15.059527918748856,23.51192838853336,0,70.60602082784175
26.8293152152541,45.88651821384808,3.9875072021335964,3.0887013472785485,17.30278317791773,18.89011169809722,0,90.26494941871194
35.896064077536955,80.72723976575888,16.455444551313622,12.903452287769351,8.06579521006747,32.911055237593274,0,68.42675123582052
31.837173645764544,72.31662231626507,3.95374148554832,15.013379964191195,5.60491556917625,27.680178142316915,0,83.13321885760593
25.65262807032524,53.98650017043443,3.750534000592925,24.44435991279484,17.811221053191456,19.180102838929113,0,88.51337758242057
30.712800217929825,62.87705543993229,14.223217927705553,81.19367337457093,8.449275024946603,25.111941584264788,0,74.28468631397742
25.682911535937688,88.9748271146155,15.449074558230828,24.433467649576983,99.84060553220698,24.226574557089993,0,50.212052276222906
25.671351232148716,76.00321720258799,14.601553824837252,11.448872375027188,15.380893668024576,22.41450536271184,0,82.8056132500027
29.20981135783017,65.13175482347222,2.5788977357188547,3.3599166498861863,10.450417387700535,24.102723124493217,0,88.73700231784528
18.43359877671101,61.434750245585235,5.0898034635222915,4.141465701961492,18.12095663861032,13.778474997650815,0,81.66834531498216
19.375410837434835,66.14913605677489,14.273303061184512,71.36565332452646,13.295340144012426,15.219996399856004,0,74.12499768873496
25.188562353795135,57.32354663086545,7.638746144144276,29.42161285589371,12.4989586524848,19.27572191564316,0,87.98572896497497
22.93584439832788,33.42875741421478,3.1300398091267514,64.76442101836656,8.237736482310712,13.630012069844778,0,79.6576439375969
29.571236662976368,95.63266865802096,10.661662370723395,57.33036013442139,97.16859709129001,29.017641529600407,0,43.02013814303222
23.459879622393945,67.32987498799102,4.170993232941785,7.272244540248403,9.23727526181441,19.137941541737,0,92.81509948817163
20.938481493323543,70.97220897683806,31.050654240771966,7.709330184841226,4.129478098119144,17.279276032845786,0,78.24616121102552
35.32824384460777,64.13138375184637,25.42856554688848,70.39470125454847,12.140293738255828,29.530019600527655,0,61.90445312089082
26.871118497567323,53.97324798913118,11.980471403072283,63.87527926074297,21.694114707641223,20.245439952757707,0,80.02270487403926
28.33764102343962,62.21113278576844,21.95083903930306,23.743232594725725,14.013123800392389,22.84986703171012,0,77.70441540651325
20.87625906893272,41.00907856708533,7.782153349994738,4.029181961393831,87.07325834193641,13.179518336115276,0,56.450863185724025
25.278086377374088,99.15629747079956,13.631046139804111,0.608589920076328,6.391889043853174,25.21148222209564,0,83.17576492366246
28.55461294854933,46.48232002366406,24.099141952730882,16.994891325336454,15.533126545686422,20.446876176337526,0,80.40291677803248
22.245032112888488,49.52050574229231,8.992572379555202,0.4632531013295883,21.29230398077322,15.560680104528661,0,81.7009739966247
29.87849009172836,58.396111934203994,6.024595033666802,13.07295408519312,10.148105709784582,23.622266830073045,0,86.86430492627619
24.996806550405974,84.32113587278566,1.8894814634363017,27.1933376486101,15.632288785645791,22.918754143233222,0,86.7470313600224
26.541531251033618,65.2176349889398,6.913618619921149,6.472174563771111,6.311908187132806,21.670988335447017,0,91.28552133478085
24.991466938853016,46.45796305954306,14.278266380985338,5.506245582311974,17.964260321859935,17.43449241443656,0,82.47389409897767
